donor_id,gene_symbol,tumor_mean,normal_mean,tumor_minus_normal
C124,CASP14,0.0,0.0,0.0
C125,CASP14,0.0,0.0,0.0
C126,CASP14,0.0,0.0,0.0
C129,CASP14,0.0,0.0,0.0
C130,CASP14,0.0,0.0,0.0
C132,CASP14,0.0,0.0,0.0
C133,CASP14,0.0,0.0,0.0
C134,CASP14,0.0,0.0,0.0
C135,CASP14,0.0,0.0,0.0
C136,CASP14,0.0,0.0,0.0
C137,CASP14,0.0,0.0,0.0
C138,CASP14,0.0,0.0,0.0
C139,CASP14,0.0,0.0,0.0
C140,CASP14,0.003486187430098653,0.0,0.003486187430098653
C142,CASP14,0.0,0.0,0.0
C143,CASP14,0.0,0.0,0.0
C151,CASP14,0.0,0.0,0.0
C155,CASP14,0.0,0.0,0.0
C157,CASP14,0.0,0.0,0.0
C162,CASP14,0.0,0.0,0.0
C165,CASP14,0.0,0.0,0.0
C170,CASP14,0.0,0.0,0.0
C106,CCL20,0.03677408769726753,0.0,0.03677408769726753
C107,CCL20,0.17453470826148987,0.0,0.17453470826148987
C109,CCL20,0.2465297281742096,0.0,0.2465297281742096
C110,CCL20,0.42850261926651,0.10043416172266006,0.32806845754384995
C111,CCL20,0.7155420780181885,0.2040243148803711,0.5115177631378174
C112,CCL20,0.4405343234539032,0.04125112667679787,0.39928319677710533
C113,CCL20,0.04024311155080795,0.0,0.04024311155080795
C114,CCL20,0.13213588297367096,0.011078170500695705,0.12105771247297525
C115,CCL20,0.34350141882896423,0.0,0.34350141882896423
C116,CCL20,0.021926915273070335,0.0,0.021926915273070335
C119,CCL20,0.09283174574375153,0.0,0.09283174574375153
C122,CCL20,0.2423745095729828,0.0,0.2423745095729828
C123,CCL20,0.1184583529829979,0.0,0.1184583529829979
C124,CCL20,0.2845083773136139,0.03958945348858833,0.24491892382502556
C125,CCL20,0.15918196737766266,0.029062887653708458,0.1301190797239542
C126,CCL20,0.09925427287817001,0.013486403971910477,0.08576786890625954
C129,CCL20,0.11773288995027542,0.0,0.11773288995027542
C130,CCL20,0.3749266564846039,0.0,0.3749266564846039
C132,CCL20,0.4053812026977539,0.0,0.4053812026977539
C133,CCL20,0.0910896584391594,0.0,0.0910896584391594
C134,CCL20,0.3049030303955078,0.10640646517276764,0.19849656522274017
C135,CCL20,0.22083565592765808,0.0,0.22083565592765808
C136,CCL20,0.2631155252456665,0.04939242824912071,0.2137230969965458
C137,CCL20,0.4631876051425934,0.0,0.4631876051425934
C138,CCL20,0.20060165226459503,0.0,0.20060165226459503
C139,CCL20,0.09102064371109009,0.0,0.09102064371109009
C140,CCL20,0.08803839236497879,0.0,0.08803839236497879
C142,CCL20,0.012906181626021862,0.0,0.012906181626021862
C143,CCL20,0.37772294878959656,0.0,0.37772294878959656
C151,CCL20,0.28160011768341064,0.0,0.28160011768341064
C155,CCL20,0.20992010831832886,0.0,0.20992010831832886
C157,CCL20,0.10098936408758163,0.012784675695002079,0.08820468839257956
C162,CCL20,0.15032222867012024,0.01591424271464348,0.13440798595547676
C165,CCL20,0.511184573173523,0.02617209032177925,0.4850124828517437
C170,CCL20,0.27958300709724426,0.0,0.27958300709724426
C106,CGA,0.0,0.0,0.0
C107,CGA,0.0,0.0,0.0
C109,CGA,0.0,0.0,0.0
C110,CGA,0.0,0.0,0.0
C111,CGA,0.007503615692257881,0.0,0.007503615692257881
C112,CGA,0.0,0.0,0.0
C113,CGA,0.0,0.0,0.0
C114,CGA,0.0,0.0,0.0
C115,CGA,0.0,0.0,0.0
C116,CGA,0.0,0.0,0.0
C119,CGA,0.0,0.0,0.0
C122,CGA,0.0,0.0,0.0
C123,CGA,0.0,0.0,0.0
C124,CGA,0.002775671659037471,0.0,0.002775671659037471
C125,CGA,0.0,0.0,0.0
C126,CGA,0.0,0.0,0.0
C129,CGA,0.0,0.0,0.0
C130,CGA,0.0,0.0,0.0
C132,CGA,0.008270527236163616,0.0,0.008270527236163616
C133,CGA,0.0,0.0,0.0
C134,CGA,0.0,0.0,0.0
C135,CGA,0.0,0.0,0.0
C136,CGA,0.0,0.0,0.0
C137,CGA,0.0,0.0,0.0
C138,CGA,0.0,0.0,0.0
