"gene_symbol","module","network_input","kME_turquoise","kME_brown","kME_blue","kME_grey","max_abs_kME","best_kME_module"
"MTND4P15","blue",TRUE,0.0976223450595067,0.0784420914572522,0.489665470199505,0.100882758247008,0.489665470199505,"blue"
"Metazoa_SRP","grey",TRUE,0.00637375956612316,-0.000957851542971974,0.0119403241296229,-0.0185456192998661,0.0185456192998661,"grey"
"OOEP","grey",TRUE,0.126445958938667,0.133632561103421,-0.0599198839508342,0.020693019812724,0.133632561103421,"brown"
"PGM5P4-AS1","turquoise",TRUE,0.472135002448142,0.309846066486691,0.0760464216988972,0.144163785715961,0.472135002448142,"turquoise"
"PNLIPRP1","grey",TRUE,0.0219268766567956,-0.0692868423285867,0.137186325169999,0.30778160138333,0.30778160138333,"grey"
"POU6F2","grey",TRUE,0.164022659220006,0.0473736086051426,0.142777818649706,0.237020204205554,0.237020204205554,"grey"
"PRR9","grey",TRUE,0.109279594597753,-0.0420450209224404,0.0989023714118765,0.271463834820502,0.271463834820502,"grey"
"PRSS56","grey",TRUE,0.0140550011972222,-0.163189578349691,0.207541079430596,0.413016044181201,0.413016044181201,"grey"
"RP11-1167A19.2","grey",TRUE,0.0767738206060023,0.0892046189142526,0.0954768562452075,-0.00765557244517573,0.0954768562452075,"blue"
"RP11-117L6.1","grey",TRUE,0.0144752715651811,-0.150578545369082,0.103010111681951,0.335268653950803,0.335268653950803,"grey"
"RP11-234G16.4","grey",TRUE,0.200183671709926,0.170065394628348,0.0580013575396388,-0.0116316184675658,0.200183671709926,"turquoise"
"RP11-429E11.2","turquoise",TRUE,0.474577310603473,0.403295904165342,-0.0821590157218103,-0.116632879141065,0.474577310603473,"turquoise"
"RP11-887P2.5","turquoise",TRUE,0.447399341115793,0.268479753721823,0.164712307223325,0.0831857827714435,0.447399341115793,"turquoise"
"RP4-678D15.1","brown",TRUE,0.271758299943813,0.351785274499112,-0.078680320749579,-0.146253869728734,0.351785274499112,"brown"
"RPL3P1","grey",TRUE,0.00461106311221416,0.0142802723027311,0.267419323262587,-0.0170757182978552,0.267419323262587,"blue"
"SERPINA11","grey",TRUE,-0.00702411336675874,-0.0481258662228795,0.0215438552676391,0.0838791127156311,0.0838791127156311,"grey"
"SLC25A24P1","grey",TRUE,0.0327172170049547,-0.0651011651572467,0.0816262924729599,0.16711524341745,0.16711524341745,"grey"
"TAS2R18","blue",TRUE,0.0288836006808852,0.0418054618475096,0.327144188191518,-0.095172548987086,0.327144188191518,"blue"
"UTS2R","grey",TRUE,0.201140719884986,0.277604659277047,0.0894828094245692,0.199571739675764,0.277604659277047,"brown"
"ZDHHC4P1","grey",TRUE,0.168242331626686,0.225247757769706,0.390672247935258,0.0544863112623976,0.390672247935258,"blue"
"RP5-837J1.4","grey",TRUE,-0.019750045478193,-0.0664071930176947,0.302055456285144,-0.0319104907211649,0.302055456285144,"blue"
"RP11-20J15.3","turquoise",TRUE,0.574451588735367,0.40285653294545,0.0253831206573679,0.0496441521952459,0.574451588735367,"turquoise"
