GeneCards_Rank,GeneSymbol,GeneName,GeneType,RelevanceScore,KnowledgeScore,gene_symbol
322,ADAMTS9-AS2,ADAMTS9 Antisense RNA 2,RNA Gene,17.3,57,ADAMTS9-AS2
323,TTTY15,"Testis Expressed Transcript, Y-Linked 15",RNA Gene,17.3,64,TTTY15
324,CDK20,Cyclin Dependent Kinase 20,Protein Coding,17.3,79,CDK20
325,MIR31HG,MIR31 Host Gene,RNA Gene,17.3,56,MIR31HG
326,SEMA4A,Semaphorin 4A,Protein Coding,17.3,89,SEMA4A
327,MIR497HG,Mir-497-195 Cluster Host Gene,RNA Gene,17.2,53,MIR497HG
328,CDC27,Cell Division Cycle 27,Protein Coding,17.2,86,CDC27
329,MIR29B2,MicroRNA 29b-2,RNA Gene,17.2,59,MIR29B2
330,SNHG11,Small Nucleolar RNA Host Gene 11,RNA Gene,17.2,55,SNHG11
331,VPS9D1-AS1,VPS9D1 Antisense RNA 1,RNA Gene,17.2,53,VPS9D1-AS1
332,MIR24-2,MicroRNA 24-2,RNA Gene,17.2,58,MIR24-2
333,LINC02474,Long Intergenic Non-Protein Coding RNA 2474,RNA Gene,17.2,51,LINC02474
334,KAT2B,Lysine Acetyltransferase 2B,Protein Coding,17.2,97,KAT2B
335,MDM2,MDM2 Proto-Oncogene,Protein Coding,17.1,100,MDM2
336,LINC00460,Long Intergenic Non-Protein Coding RNA 460,RNA Gene,17.1,53,LINC00460
337,MNX1-AS1,MNX1 Antisense RNA 1,RNA Gene,17.1,52,MNX1-AS1
338,CHASERR,CHD2 Adjacent Suppressive Regulatory RNA,RNA Gene,17.1,55,CHASERR
339,CDX2,Caudal Type Homeobox 2,Protein Coding,17.1,79,CDX2
340,LINC01234,Long Intergenic Non-Protein Coding RNA 1234,RNA Gene,17.1,53,LINC01234
341,MAP2K1,Mitogen-Activated Protein Kinase Kinase 1,Protein Coding,17.1,100,MAP2K1
342,ITSN1,Intersectin 1,Protein Coding,17.0,100,ITSN1
343,SNHG15,Small Nucleolar RNA Host Gene 15,RNA Gene,17.0,58,SNHG15
344,CRTC3,CREB Regulated Transcription Coactivator 3,Protein Coding,17.0,70,CRTC3
345,PITX1-AS1,PITX1 Antisense RNA 1,RNA Gene,17.0,55,PITX1-AS1
346,LINC00958,Long Intergenic Non-Protein Coding RNA 958,RNA Gene,17.0,52,LINC00958
347,JPX,"JPX Transcript, XIST Activator",RNA Gene,17.0,56,JPX
348,AFAP1-AS1,AFAP1 Antisense RNA 1,RNA Gene,16.9,56,AFAP1-AS1
349,MIR128-2,MicroRNA 128-2,RNA Gene,16.9,55,MIR128-2
350,ITSN2,Intersectin 2,Protein Coding,16.9,91,ITSN2
351,FER1L4,Fer-1 Like Family Member 4 (Pseudogene),Pseudogene,16.9,55,FER1L4
352,ZEB2-AS1,ZEB2 Antisense RNA 1,RNA Gene,16.9,57,ZEB2-AS1
353,LINC00920,Long Intergenic Non-Protein Coding RNA 920,RNA Gene,16.9,52,LINC00920
354,MIR10A,MicroRNA 10a,RNA Gene,16.9,64,MIR10A
355,PELATON,Plaque Enriched LncRNA In Atherosclerotic And Inflammatory Bowel Macrophage Regulation,RNA Gene,16.9,53,PELATON
356,SBF2-AS1,SBF2 Antisense RNA 1,RNA Gene,16.8,65,SBF2-AS1
357,EIF3E,Eukaryotic Translation Initiation Factor 3 Subunit E,Protein Coding,16.8,82,EIF3E
358,TPT1-AS1,TPT1 Antisense RNA 1,RNA Gene,16.8,55,TPT1-AS1
359,NLRC4,NLR Family CARD Domain Containing 4,Protein Coding,16.8,92,NLRC4
360,TNS2,Tensin 2,Protein Coding,16.8,86,TNS2
361,EWSAT1,Ewing Sarcoma Associated Transcript 1,RNA Gene,16.8,52,EWSAT1
362,DSCAM-AS1,DSCAM Antisense RNA 1,RNA Gene,16.8,50,DSCAM-AS1
363,HCP5,HLA Complex P5,RNA Gene,16.7,55,HCP5
364,MIR129-2,MicroRNA 129-2,RNA Gene,16.7,58,MIR129-2
365,MIR9-2HG,MIR9-2 Host Gene,RNA Gene,16.7,58,MIR9-2HG
366,GAPVD1,GTPase Activating Protein And VPS9 Domains 1,Protein Coding,16.7,83,GAPVD1
367,LINC00339,Long Intergenic Non-Protein Coding RNA 339,RNA Gene,16.7,53,LINC00339
368,BLACAT1,BLACAT1 Overlapping LEMD1 Locus,Protein Coding,16.7,38,BLACAT1
369,RSPO2,R-Spondin 2,Protein Coding,16.7,77,RSPO2
370,MMP7,Matrix Metallopeptidase 7,Protein Coding,16.7,85,MMP7
371,PTPRK,Protein Tyrosine Phosphatase Receptor Type K,Protein Coding,16.7,82,PTPRK
372,MIR372,MicroRNA 372,RNA Gene,16.7,60,MIR372
373,ABCG2,ATP Binding Cassette Subfamily G Member 2 (JR Blood Group),Protein Coding,16.6,93,ABCG2
374,NF1,Neurofibromin 1,Protein Coding,16.6,100,NF1
375,TUSC7,Tumor Suppressor Candidate 7,RNA Gene,16.6,51,TUSC7
376,CXCR4,C-X-C Motif Chemokine Receptor 4,Protein Coding,16.6,100,CXCR4
377,MIR339,MicroRNA 339,RNA Gene,16.6,62,MIR339
378,GFOD3P,"Gfo/Idh/MocA-Like Oxidoreductase Domain Containing 3, Pseudogene",Pseudogene,16.6,49,GFOD3P
379,NAT2,N-Acetyltransferase 2,Protein Coding,16.6,81,NAT2
380,MIR7-3,MicroRNA 7-3,RNA Gene,16.6,56,MIR7-3
381,LINC00957,Long Intergenic Non-Protein Coding RNA 957,RNA Gene,16.6,51,LINC00957
382,MIR22HG,MIR22 Host Gene,RNA Gene,16.6,58,MIR22HG
383,SNHG4,Small Nucleolar RNA Host Gene 4,RNA Gene,16.6,51,SNHG4
384,LINC00504,Long Intergenic Non-Protein Coding RNA 504,RNA Gene,16.6,53,LINC00504
385,LINC00174,Long Intergenic Non-Protein Coding RNA 174,RNA Gene,16.6,52,LINC00174
386,PNN,"Pinin, Desmosome Associated Protein",Protein Coding,16.5,69,PNN
387,MIR422A,MicroRNA 422a,RNA Gene,16.5,56,MIR422A
388,ST3GAL6-AS1,ST3GAL6 Antisense RNA 1,RNA Gene,16.5,53,ST3GAL6-AS1
389,LINC00668,Long Intergenic Non-Protein Coding RNA 668,RNA Gene,16.5,50,LINC00668
390,KAT7,Lysine Acetyltransferase 7,Protein Coding,16.5,83,KAT7
391,LINC02257,Long Intergenic Non-Protein Coding RNA 2257,RNA Gene,16.5,51,LINC02257
392,MIER3,MIER Family Member 3,Protein Coding,16.5,62,MIER3
393,PRPF31,Pre-MRNA Processing Factor 31,Protein Coding,16.5,93,PRPF31
394,CUL2,Cullin 2,Protein Coding,16.5,88,CUL2
395,HAND2-AS1,HAND2 Antisense RNA 1,RNA Gene,16.5,61,HAND2-AS1
396,CCEPR,Cervical Carcinoma Expressed PCNA Regulatory LncRNA,RNA Gene,16.5,51,CCEPR
397,KIRREL1,Kirre Like Nephrin Family Adhesion Molecule 1,Protein Coding,16.5,79,KIRREL1
398,DLX6-AS1,DLX6 Antisense RNA 1,RNA Gene,16.5,63,DLX6-AS1
399,LINC01705,Long Intergenic Non-Protein Coding RNA 1705,RNA Gene,16.5,53,LINC01705
400,DUXAP8,Double Homeobox A Pseudogene 8,Pseudogene,16.4,49,DUXAP8
401,MIR95,MicroRNA 95,RNA Gene,16.4,57,MIR95
402,SPRY4-IT1,SPRY4 Intronic Transcript 1,RNA Gene,16.4,51,SPRY4-IT1
403,ARAP1-AS1,ARAP1 Antisense RNA 1,RNA Gene,16.4,51,ARAP1-AS1
404,FOXD2-AS1,FOXD2 Adjacent Opposite Strand RNA 1,RNA Gene,16.4,53,FOXD2-AS1
405,MAPK1,Mitogen-Activated Protein Kinase 1,Protein Coding,16.4,94,MAPK1
406,HOXA5,Homeobox A5,Protein Coding,16.4,72,HOXA5
407,TINCR,TINCR Ubiquitin Domain Containing,Protein Coding,16.4,50,TINCR
408,IGFBP3,Insulin Like Growth Factor Binding Protein 3,Protein Coding,16.4,86,IGFBP3
409,NRAD1,Non-Coding RNA In The Aldehyde Dehydrogenase 1A Pathway,RNA Gene,16.4,53,NRAD1
410,BICDL3P,"BICD Family Like 3, Pseudogene",Pseudogene,16.4,48,BICDL3P
411,SMAD3,SMAD Family Member 3,Protein Coding,16.3,100,SMAD3
412,PLOD2,"Procollagen-Lysine,2-Oxoglutarate 5-Dioxygenase 2",Protein Coding,16.3,92,PLOD2
413,LINC01589,Long Intergenic Non-Protein Coding RNA 1589,RNA Gene,16.3,53,LINC01589
414,LINC00467,Long Intergenic Non-Protein Coding RNA 467,RNA Gene,16.3,53,LINC00467
415,DLEU2,Deleted In Lymphocytic Leukemia 2,RNA Gene,16.3,57,DLEU2
416,PART1,Prostate Androgen-Regulated Transcript 1,RNA Gene,16.3,55,PART1
417,MAP7,Microtubule Associated Protein 7,Protein Coding,16.3,70,MAP7
418,GAL,Galanin And GMAP Prepropeptide,Protein Coding,16.3,83,GAL
419,MAPKAPK5-AS1,MAPKAPK5 Antisense RNA 1,RNA Gene,16.3,54,MAPKAPK5-AS1
420,LINC00520,Long Intergenic Non-Protein Coding RNA 520,RNA Gene,16.3,53,LINC00520
421,LINC00857,Long Intergenic Non-Protein Coding RNA 857,RNA Gene,16.3,53,LINC00857
422,SNHG8,Small Nucleolar RNA Host Gene 8,RNA Gene,16.2,56,SNHG8
423,FAM30A,Family With Sequence Similarity 30 Member A,RNA Gene,16.2,57,FAM30A
424,SMARCA5,SNF2 Related Chromatin Remodeling ATPase 5,Protein Coding,16.2,92,SMARCA5
425,LEF1-AS1,LEF1 Antisense RNA 1,RNA Gene,16.2,53,LEF1-AS1
426,LIFR-AS1,LIFR Antisense RNA 1,RNA Gene,16.2,53,LIFR-AS1
427,OTUD6B-AS1,OTUD6B Antisense RNA 1,RNA Gene,16.2,51,OTUD6B-AS1
428,CEACAM5,CEA Cell Adhesion Molecule 5,Protein Coding,16.2,81,CEACAM5
429,ANKFY1,Ankyrin Repeat And FYVE Domain Containing 1,Protein Coding,16.2,84,ANKFY1
430,DAAM2,Dishevelled Associated Activator Of Morphogenesis 2,Protein Coding,16.2,81,DAAM2
431,GPC6,Glypican 6,Protein Coding,16.2,84,GPC6
432,RPPH1,Ribonuclease P RNA Component H1,RNA Gene,16.2,54,RPPH1
433,FAM3D-AS1,FAM3D Antisense RNA 1,RNA Gene,16.2,51,FAM3D-AS1
434,LINC01767,Long Intergenic Non-Protein Coding RNA 1767,RNA Gene,16.2,50,LINC01767
435,FARSA,Phenylalanyl-TRNA Synthetase Subunit Alpha,Protein Coding,16.2,79,FARSA
436,AGAP2-AS1,AGAP2 Antisense RNA 1,RNA Gene,16.2,55,AGAP2-AS1
437,LINC01605,Long Intergenic Non-Protein Coding RNA 1605,RNA Gene,16.2,53,LINC01605
438,TFDP1,Transcription Factor Dp-1,Protein Coding,16.2,85,TFDP1
439,YRDC,YrdC N6-Threonylcarbamoyltransferase Domain Containing,Protein Coding,16.2,67,YRDC
440,ACVR1B,Activin A Receptor Type 1B,Protein Coding,16.1,87,ACVR1B
441,TRERNA1,Translation Regulatory Long Non-Coding RNA 1,RNA Gene,16.1,52,TRERNA1
442,TLX1NB,TLX1 Neighbor,RNA Gene,16.1,53,TLX1NB
443,MBNL1-AS1,MBNL1 Antisense RNA 1,RNA Gene,16.1,53,MBNL1-AS1
444,MIR181A2,MicroRNA 181a-2,RNA Gene,16.1,66,MIR181A2
445,MAP3K20-AS1,MAP3K20 Antisense RNA 1,RNA Gene,16.1,65,MAP3K20-AS1
446,SNHG3,Small Nucleolar RNA Host Gene 3,RNA Gene,16.0,60,SNHG3
447,SNHG12,Small Nucleolar RNA Host Gene 12,RNA Gene,16.0,59,SNHG12
448,FOXP4-AS1,FOXP4 Antisense RNA 1,RNA Gene,16.0,53,FOXP4-AS1
449,PURPL,P53 Upregulated Regulator Of P53 Levels,RNA Gene,16.0,53,PURPL
450,DDX11-AS1,DDX11 Antisense RNA 1,RNA Gene,16.0,52,DDX11-AS1
451,MCF2L-AS1,MCF2L Antisense RNA 1,RNA Gene,16.0,52,MCF2L-AS1
452,RPL34-DT,RPL34 Divergent Transcript,RNA Gene,16.0,52,RPL34-DT
453,CERS6-AS1,CERS6 Antisense RNA 1,RNA Gene,16.0,51,CERS6-AS1
454,RUBCNL,Rubicon Like Autophagy Enhancer,Protein Coding,16.0,64,RUBCNL
455,DLGAP1-AS2,DLGAP1 Antisense RNA 2,RNA Gene,16.0,53,DLGAP1-AS2
456,NKILA,NF-KappaB Interacting LncRNA,RNA Gene,16.0,53,NKILA
457,NR2F2-AS1,NR2F2 Antisense RNA 1,RNA Gene,16.0,53,NR2F2-AS1
458,ITIH4-AS1,ITIH4 Antisense RNA 1,RNA Gene,16.0,51,ITIH4-AS1
459,HCG18,HLA Complex Group 18,RNA Gene,16.0,53,HCG18
460,LINC01485,Long Intergenic Non-Protein Coding RNA 1485,RNA Gene,16.0,53,LINC01485
461,MIR127,MicroRNA 127,RNA Gene,16.0,61,MIR127
462,GON7,GON7 Subunit Of KEOPS Complex,Protein Coding,16.0,57,GON7
463,EGFR-AS1,EGFR Antisense RNA 1,RNA Gene,16.0,65,EGFR-AS1
464,MIR155HG,MIR155 Host Gene,RNA Gene,16.0,61,MIR155HG
465,PTTG3P,"Pituitary Tumor-Transforming 3, Pseudogene",Pseudogene,16.0,56,PTTG3P
466,BBOX1-AS1,BBOX1 Antisense RNA 1,RNA Gene,16.0,53,BBOX1-AS1
467,EPIC1,Epigenetically Induced MYC Interacting LncRNA 1,RNA Gene,16.0,53,EPIC1
468,LINC00659,Long Intergenic Non-Protein Coding RNA 659,RNA Gene,16.0,51,LINC00659
469,SPINT1-AS1,SPINT1 Antisense RNA 1,RNA Gene,16.0,51,SPINT1-AS1
470,CTLA4,Cytotoxic T-Lymphocyte Associated Protein 4,Protein Coding,16.0,100,CTLA4
471,PCGEM1,PCGEM1 Prostate-Specific Transcript,RNA Gene,15.9,57,PCGEM1
472,ADAMTS9-AS1,ADAMTS9 Antisense RNA 1,RNA Gene,15.9,54,ADAMTS9-AS1
473,LINC01123,Long Intergenic Non-Protein Coding RNA 1123,RNA Gene,15.9,51,LINC01123
474,TNF,Tumor Necrosis Factor,Protein Coding,15.9,91,TNF
475,ACAP2,"ArfGAP With Coiled-Coil, Ankyrin Repeat And PH Domains 2",Protein Coding,15.9,70,ACAP2
476,CCDC66,Coiled-Coil Domain Containing 66,Protein Coding,15.9,64,CCDC66
477,LINC00312,Long Intergenic Non-Protein Coding RNA 312,RNA Gene,15.9,53,LINC00312
478,ZNF667-AS1,ZNF667 Antisense RNA 1,RNA Gene,15.9,53,ZNF667-AS1
479,INHBA-AS1,INHBA Antisense RNA 1,RNA Gene,15.9,53,INHBA-AS1
480,FAM201A,Family With Sequence Similarity 201 Member A,RNA Gene,15.9,52,FAM201A
481,MT-CO2,Mitochondrially Encoded Cytochrome C Oxidase II,Protein Coding,15.9,90,MT-CO2
482,LINC01116,Long Intergenic Non-Protein Coding RNA 1116,RNA Gene,15.9,52,LINC01116
483,SNHG7,Small Nucleolar RNA Host Gene 7,RNA Gene,15.8,58,SNHG7
484,CA3-AS1,CA3 Antisense RNA 1,RNA Gene,15.8,54,CA3-AS1
485,TRPM2-AS,TRPM2 Antisense RNA,RNA Gene,15.8,52,TRPM2-AS
486,SFRP2,Secreted Frizzled Related Protein 2,Protein Coding,15.8,72,SFRP2
487,HULC,Hepatocellular Carcinoma Up-Regulated Long Non-Coding RNA,RNA Gene,15.8,58,HULC
488,SNHG20,Small Nucleolar RNA Host Gene 20,RNA Gene,15.8,58,SNHG20
489,HAR1B,Highly Accelerated Region 1B,RNA Gene,15.8,50,HAR1B
490,LINC00525,Long Intergenic Non-Protein Coding RNA 525,RNA Gene,15.8,50,LINC00525
491,CXCL8,C-X-C Motif Chemokine Ligand 8,Protein Coding,15.8,88,CXCL8
492,DUSP16,Dual Specificity Phosphatase 16,Protein Coding,15.8,82,DUSP16
493,MIRLET7F1,MicroRNA Let-7f-1,RNA Gene,15.8,62,MIRLET7F1
494,COMETT,Cytosolic Oncogenic Antisense To MET Transcript,RNA Gene,15.8,57,COMETT
495,ASB16-AS1,ASB16 Antisense RNA 1,RNA Gene,15.8,55,ASB16-AS1
496,GATA2-AS1,GATA2 Antisense RNA 1,RNA Gene,15.8,54,GATA2-AS1
497,LINC00114,Long Intergenic Non-Protein Coding RNA 114,RNA Gene,15.8,54,LINC00114
498,LNCARSR,LncRNA Regulator Of Akt Signaling Associated With HCC And RCC,RNA Gene,15.8,53,LNCARSR
499,EIF3J-DT,EIF3J Divergent Transcript,RNA Gene,15.8,52,EIF3J-DT
500,UNC5B-AS1,UNC5B Antisense RNA 1,RNA Gene,15.8,52,UNC5B-AS1
501,ST8SIA6-AS1,ST8SIA6 Antisense RNA 1,RNA Gene,15.8,51,ST8SIA6-AS1
502,CFTR,CF Transmembrane Conductance Regulator,Protein Coding,15.8,100,CFTR
503,PPARD,Peroxisome Proliferator Activated Receptor Delta,Protein Coding,15.8,91,PPARD
504,IL1B,Interleukin 1 Beta,Protein Coding,15.8,91,IL1B
505,RECQL,RecQ Like Helicase,Protein Coding,15.7,91,RECQL
506,GLIS2,GLIS Family Zinc Finger 2,Protein Coding,15.7,81,GLIS2
507,ZFR,Zinc Finger RNA Binding Protein,Protein Coding,15.7,79,ZFR
508,KLK8,Kallikrein Related Peptidase 8,Protein Coding,15.7,77,KLK8
509,TUBA4B,Tubulin Alpha 4b,Protein Coding,15.7,72,TUBA4B
510,SOX2-OT,SOX2 Overlapping Transcript,RNA Gene,15.7,68,SOX2-OT
511,MIRLET7BHG,MIRLET7B And MIRLET7A3 Host Gene,RNA Gene,15.7,58,MIRLET7BHG
512,GAS6-AS1,GAS6 Antisense RNA 1,RNA Gene,15.7,56,GAS6-AS1
513,LINC00115,Long Intergenic Non-Protein Coding RNA 115,RNA Gene,15.7,55,LINC00115
514,LINC00342,Long Intergenic Non-Protein Coding RNA 342,RNA Gene,15.7,54,LINC00342
515,LOXL1-AS1,LOXL1 Antisense RNA 1,RNA Gene,15.7,54,LOXL1-AS1
516,LUNAR1,Leukemia-Associated Non-Coding IGF1R Activator RNA 1,RNA Gene,15.7,54,LUNAR1
517,FLVCR1-DT,FLVCR1 Divergent Transcript,RNA Gene,15.7,53,FLVCR1-DT
518,FOXCUT,FOXC1 Upstream Transcript,RNA Gene,15.7,53,FOXCUT
519,LINC00908,Long Intergenic Non-Protein Coding RNA 908,RNA Gene,15.7,53,LINC00908
520,SH3PXD2A-AS1,SH3PXD2A Antisense RNA 1,RNA Gene,15.7,53,SH3PXD2A-AS1
521,ICMT-DT,ICMT Divergent Transcript,RNA Gene,15.7,52,ICMT-DT
522,LINC00324,Long Intergenic Non-Protein Coding RNA 324,RNA Gene,15.7,52,LINC00324
523,DNAJC3-DT,DNAJC3 Divergent Transcript,RNA Gene,15.7,51,DNAJC3-DT
524,IGFL2-AS1,IGFL2 Antisense RNA 1,RNA Gene,15.7,51,IGFL2-AS1
525,LBX2-AS1,LBX2 Antisense RNA 1,RNA Gene,15.7,51,LBX2-AS1
526,LINC01224,Long Intergenic Non-Protein Coding RNA 1224,RNA Gene,15.7,51,LINC01224
527,LINC01555,Long Intergenic Non-Protein Coding RNA 1555,RNA Gene,15.7,51,LINC01555
528,DUXAP9,Double Homeobox A Pseudogene 9,Pseudogene,15.7,49,DUXAP9
529,R3HDML-AS1,R3HDML Antisense RNA 1,RNA Gene,15.7,52,R3HDML-AS1
530,FGF14-AS2,FGF14 Antisense RNA 2,RNA Gene,15.7,50,FGF14-AS2
531,ENSG00000231881,Novel Transcript,RNA Gene,15.7,48,ENSG00000231881
532,LINC01315,Long Intergenic Non-Protein Coding RNA 1315,RNA Gene,15.7,52,LINC01315
533,NTN1,Netrin 1,Protein Coding,15.6,85,NTN1
534,KCNA3,Potassium Voltage-Gated Channel Subfamily A Member 3,Protein Coding,15.6,89,KCNA3
535,PTGS1,Prostaglandin-Endoperoxide Synthase 1,Protein Coding,15.6,90,PTGS1
536,FOXP3,Forkhead Box P3,Protein Coding,15.6,93,FOXP3
537,ZFPM2-AS1,ZFPM2 Antisense RNA 1,RNA Gene,15.6,65,ZFPM2-AS1
538,ESRG,Embryonic Stem Cell Related,RNA Gene,15.6,57,ESRG
539,MIR124-1HG,MIR124-1 Host Gene,RNA Gene,15.6,56,MIR124-1HG
540,TTTY14,"Testis Expressed Transcript, Y-Linked 14",RNA Gene,15.6,55,TTTY14
541,GRHL2-DT,GRHL2 Divergent Transcript,RNA Gene,15.6,53,GRHL2-DT
542,LINC00518,Long Intergenic Non-Protein Coding RNA 518,RNA Gene,15.6,53,LINC00518
543,LINC02381,Long Intergenic Non-Protein Coding RNA 2381,RNA Gene,15.6,51,LINC02381
544,NPSR1-AS1,NPSR1 Antisense RNA 1,RNA Gene,15.5,56,NPSR1-AS1
545,LINC01088,Long Intergenic Non-Protein Coding RNA 1088,RNA Gene,15.5,53,LINC01088
546,CKMT2-AS1,CKMT2 Antisense RNA 1,RNA Gene,15.5,52,CKMT2-AS1
547,KRT20,Keratin 20,Protein Coding,15.5,67,KRT20
548,ATP6V0D2,ATPase H+ Transporting V0 Subunit D2,Protein Coding,15.5,76,ATP6V0D2
549,GNAS-AS1,GNAS Antisense RNA 1,RNA Gene,15.5,65,GNAS-AS1
550,FGD5-AS1,FGD5 Antisense RNA 1,RNA Gene,15.5,53,FGD5-AS1
551,NALT1,NOTCH1 Associated LncRNA In T Cell Acute Lymphoblastic Leukemia 1,RNA Gene,15.5,52,NALT1
552,LINC00997,Long Intergenic Non-Protein Coding RNA 997,RNA Gene,15.5,51,LINC00997
553,LINC02985,Long Intergenic Non-Protein Coding RNA 2985,RNA Gene,15.5,51,LINC02985
554,USP2-AS1,USP2 Antisense RNA 1,RNA Gene,15.5,60,USP2-AS1
555,CACNA1G-AS1,CACNA1G Antisense RNA 1,RNA Gene,15.5,56,CACNA1G-AS1
556,EPB41L4A-AS1,EPB41L4A Antisense RNA 1,RNA Gene,15.5,53,EPB41L4A-AS1
557,GACAT3,Gastric Cancer Associated Transcript 3,RNA Gene,15.5,53,GACAT3
558,LINC01564,Long Intergenic Non-Protein Coding RNA 1564,RNA Gene,15.5,53,LINC01564
559,SACK1C-AS1,SACK1C Antisense RNA 1,RNA Gene,15.5,53,SACK1C-AS1
560,SATB2-AS1,SATB2 Antisense RNA 1,RNA Gene,15.5,53,SATB2-AS1
561,NR4A1AS,NR4A1 Antisense RNA,RNA Gene,15.5,52,NR4A1AS
562,ZNF561-AS1,ZNF561 Antisense RNA 1,RNA Gene,15.5,52,ZNF561-AS1
563,LINC00265,Long Intergenic Non-Protein Coding RNA 265,RNA Gene,15.5,51,LINC00265
564,RP9P,RP9 Pseudogene,Pseudogene,15.5,51,RP9P
565,MSTO2P,"Misato Family Member 2, Pseudogene",Pseudogene,15.5,49,MSTO2P
566,SUMO1P3,SUMO1 Pseudogene 3,Pseudogene,15.5,48,SUMO1P3
567,GSTT1,Glutathione S-Transferase Theta 1,Protein Coding,15.4,63,GSTT1
568,ILF3-DT,ILF3 Divergent Transcript,RNA Gene,15.4,53,ILF3-DT
569,LINC01082,Long Intergenic Non-Protein Coding RNA 1082,RNA Gene,15.4,52,LINC01082
570,TRIM8,Tripartite Motif Containing 8,Protein Coding,15.4,85,TRIM8
571,ACTA2-AS1,ACTA2 Antisense RNA 1,RNA Gene,15.4,65,ACTA2-AS1
572,SNHG22,Small Nucleolar RNA Host Gene 22,RNA Gene,15.4,65,SNHG22
573,COL4A2-AS1,COL4A2 Antisense RNA 1,RNA Gene,15.4,62,COL4A2-AS1
574,PLA2G2C,Phospholipase A2 Group IIC,Protein Coding,15.4,60,PLA2G2C
575,SLC12A5-AS1,SLC12A5 And MMP9 Antisense RNA 1,RNA Gene,15.4,60,SLC12A5-AS1
576,MSC-AS1,MSC Antisense RNA 1,RNA Gene,15.4,59,MSC-AS1
577,PSMB8-AS1,PSMB8 Antisense RNA 1,RNA Gene,15.4,59,PSMB8-AS1
578,FOXC2-AS1,FOXC2 Antisense RNA 1,RNA Gene,15.4,58,FOXC2-AS1
579,SNHG10,Small Nucleolar RNA Host Gene 10,RNA Gene,15.4,58,SNHG10
580,PSMA3-AS1,PSMA3 Antisense RNA 1,RNA Gene,15.4,57,PSMA3-AS1
581,TDRG1,Testis Development Related 1,RNA Gene,15.4,57,TDRG1
582,EGOT,Eosinophil Granule Ontogeny Transcript,RNA Gene,15.4,56,EGOT
583,DCST1-AS1,DCST1 Antisense RNA 1,RNA Gene,15.4,55,DCST1-AS1
584,LINC00261,Long Intergenic Non-Protein Coding RNA 261,RNA Gene,15.4,55,LINC00261
585,STEAP3-AS1,STEAP3 Antisense RNA 1,RNA Gene,15.4,55,STEAP3-AS1
586,FAM222A-AS1,FAM222A Antisense RNA 1,RNA Gene,15.4,54,FAM222A-AS1
587,NRIR,Negative Regulator Of Interferon Response,RNA Gene,15.4,54,NRIR
588,ADPGK-AS1,ADPGK Antisense RNA 1,RNA Gene,15.4,53,ADPGK-AS1
589,C10orf95-AS1,C10orf95 Antisense RNA 1,RNA Gene,15.4,53,C10ORF95-AS1
590,CCDC144NL-AS1,CCDC144NL Antisense RNA 1,RNA Gene,15.4,53,CCDC144NL-AS1
591,HOXA-AS3,HOXA Cluster Antisense RNA 3,RNA Gene,15.4,53,HOXA-AS3
592,LINC00630,Long Intergenic Non-Protein Coding RNA 630,RNA Gene,15.4,53,LINC00630
593,LINC01569,Long Intergenic Non-Protein Coding RNA 1569,RNA Gene,15.4,53,LINC01569
594,MYOSLID,"Myocardin-Induced Smooth Muscle LncRNA, Inducer Of Differentiation",RNA Gene,15.4,53,MYOSLID
595,PROX1-AS1,PROX1 Antisense RNA 1,RNA Gene,15.4,53,PROX1-AS1
596,RASSF8-AS1,RASSF8 Antisense RNA 1,RNA Gene,15.4,53,RASSF8-AS1
597,SCARNA2,Small Cajal Body-Specific RNA 2,RNA Gene,15.4,53,SCARNA2
598,SOCS2-AS1,SOCS2 Antisense RNA 1,RNA Gene,15.4,53,SOCS2-AS1
599,SPRY4-AS1,SPRY4 Antisense RNA 1,RNA Gene,15.4,53,SPRY4-AS1
600,TDRKH-AS1,TDRKH Antisense RNA 1,RNA Gene,15.4,53,TDRKH-AS1
601,DDX3ILA1,DDX3 Interacting LncRNA 1,RNA Gene,15.4,52,DDX3ILA1
602,EZR-AS1,EZR Antisense RNA 1,RNA Gene,15.4,52,EZR-AS1
603,LDLRAD4-AS1,LDLRAD4 Antisense RNA 1,RNA Gene,15.4,52,LDLRAD4-AS1
604,LINC00654,Long Intergenic Non-Protein Coding RNA 654,RNA Gene,15.4,52,LINC00654
605,LINC01436,Long Intergenic Non-Protein Coding RNA 1436,RNA Gene,15.4,52,LINC01436
606,LINC01535,Long Intergenic Non-Protein Coding RNA 1535,RNA Gene,15.4,52,LINC01535
607,MIR600HG,MIR600 Host Gene,RNA Gene,15.4,52,MIR600HG
608,PITPNA-AS1,PITPNA Antisense RNA 1,RNA Gene,15.4,52,PITPNA-AS1
609,DICER1-AS1,DICER1 Antisense RNA 1,RNA Gene,15.4,51,DICER1-AS1
610,FAM230B,Family With Sequence Similarity 230 Member B,RNA Gene,15.4,51,FAM230B
611,GAU1,GALNT8 Antisense Upstream 1,RNA Gene,15.4,51,GAU1
612,GIHCG,GIHCG Inhibitor Of MiR-200b/200a/429 Expression,RNA Gene,15.4,51,GIHCG
613,LINC00485,Long Intergenic Non-Protein Coding RNA 485,RNA Gene,15.4,51,LINC00485
614,LINC00632,Long Intergenic Non-Protein Coding RNA 632,RNA Gene,15.4,51,LINC00632
615,LINC01278,Long Intergenic Non-Protein Coding RNA 1278,RNA Gene,15.4,51,LINC01278
