pathway,n_datasets,n_significant_datasets,median_NES,min_FDR,direction,strict_supported
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,2,1,1.2706815278922707,1.097639494791262e-07,up,False
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,2,1,-0.4429584657458697,0.0107841255328624,down,False
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,2,1,1.2648769470358925,1.306536359687275e-07,up,False
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,2,2,0.2448631049058699,5.296759377843368e-10,up,True
REACTOME_CELLULAR_SENESCENCE,2,0,-1.4786765116941438,0.1147580732193549,down,False
REACTOME_CELL_CELL_COMMUNICATION,2,1,-0.7121467062600106,0.0005109044498755,down,False
REACTOME_CELL_CYCLE,2,1,-1.8281252388345048,0.0384735972322465,down,False
REACTOME_CELL_CYCLE_CHECKPOINTS,2,1,-0.8520668091933179,0.0071003255811147,down,False
REACTOME_CELL_CYCLE_MITOTIC,2,0,-1.9084568254535628,0.0566568905758085,down,False
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE,2,0,-0.1325143701415505,0.0752531422247948,down,False
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,2,0,0.329376916622868,0.1276430904991055,up,False
REACTOME_CELL_JUNCTION_ORGANIZATION,2,1,-0.284509667751439,0.0099222069788321,down,False
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,2,2,-0.4384141355733212,0.0057576173794916,down,True
REACTOME_CGMP_EFFECTS,2,0,-0.8796479402517215,0.3500893243851486,down,False
REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY,2,0,0.0940945803403965,0.2395282834033196,up,False
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,2,2,1.887439408099364,0.0081243616015969,up,True
REACTOME_CHK1_CHK2_CDS1_MEDIATED_INACTIVATION_OF_CYCLIN_B_CDK1_COMPLEX,2,0,0.21549924899611,0.1824322086476063,up,False
REACTOME_CHOLESTEROL_BIOSYNTHESIS,2,1,1.5964239688155395,0.0018817818781427,up,False
REACTOME_CHOLESTEROL_BIOSYNTHESIS_VIA_DESMOSTEROL_BLOCH_PATHWAY,2,0,1.7309161832120563,0.1192671178619087,up,False
