platform,DRUG_NAME,drug_key,median_background_rho,global_empirical_q_value,n_backgrounds_available,n_positive_backgrounds,n_positive_nonHCT116_backgrounds,leave_HCT116_out_median_rho,n_models_direction_consistent_ge3of4,signature_robust_flag,strict_database_gate
GDSC1,IMD-0354,IMD0354,0.0401849217638691,0.0002492038905651,4,3,3,0.0507349454717875,4,True,True
GDSC1,IOX2,IOX2,0.1439271255060729,0.0327861700387195,4,3,3,0.1578947368421052,6,True,True
GDSC1,IPA-3,IPA3,-0.0066184649610678,0.0002492038905651,4,2,2,0.1903225806451613,0,False,False
GDSC1,Idelalisib,IDELALISIB,0.2132800817011343,0.0002492038905651,4,3,3,0.2198271145639566,5,True,True
GDSC1,Ispinesib Mesylate,ISPINESIBMESYLATE,-0.0200696648065069,0.0002492038905651,4,2,2,0.1453295400663821,1,False,False
GDSC1,JAK1_3715,JAK13715,0.0933225735857314,0.0471166040764449,4,3,3,0.0961538461538461,3,True,False
GDSC1,JAK3_7406,JAK37406,-0.0353430353430353,0.065723161100264,4,1,1,-0.0016413174307911,1,False,False
GDSC1,JNJ38877605,JNJ38877605,-0.0295710690447532,0.0002492038905651,4,1,1,-0.0257139730823941,0,False,False
GDSC1,JNK Inhibitor VIII,JNKINHIBITORVIII,0.1713777687461898,0.0002492038905651,4,2,2,0.3595881595881596,4,True,False
GDSC1,JNK-9L,JNK9L,0.0593854282536151,0.0002492038905651,4,2,2,0.1292547274749722,1,False,False
GDSC1,JQ1,JQ1,0.1407566473355947,0.0351886611924926,4,3,3,0.221796695480906,5,True,True
GDSC1,JQ12,JQ12,0.0964822024471635,0.0002492038905651,4,3,3,0.1808676307007786,2,True,False
GDSC1,JW-7-24-1,JW7241,0.1995386074333442,0.0002492038905651,4,3,3,0.261972498814604,4,True,True
GDSC1,KIN001-042,KIN001042,0.1199255936098041,0.0002492038905651,4,3,3,0.2119487908961593,2,True,False
GDSC1,KIN001-236,KIN001236,0.1246489404384141,0.0002492038905651,4,3,3,0.2380275011853958,4,True,True
GDSC1,KIN001-244,KIN001244,0.0588959404748878,0.0002492038905651,4,2,2,0.147226173541963,1,True,False
GDSC1,KIN001-260,KIN001260,0.1471532261005945,0.0002492038905651,4,3,3,0.2569938359412043,5,True,True
GDSC1,KIN001-266,KIN001266,0.176031294452347,0.0002492038905651,4,3,3,0.1891891891891891,6,True,True
GDSC1,KIN001-270,KIN001270,0.1232447021920706,0.0002492038905651,4,3,3,0.130393551446183,6,True,True
GDSC1,KU-55933,KU55933,0.0527410001094211,0.0002492038905651,4,2,2,0.2318634423897581,1,True,False
GDSC1,KU-60019,KU60019,0.0291242659663712,0.0002492038905651,4,2,2,0.1697486960644855,4,True,False
GDSC1,Kobe2602,KOBE2602,0.0643229695861274,0.0002492038905651,4,3,3,0.122007722007722,6,True,True
GDSC1,LCL161,LCL161,0.1351927115085009,0.0002492038905651,4,4,3,0.1696267696267696,5,True,True
GDSC1,LDN-193189,LDN193189,-0.0173745173745173,0.0002492038905651,4,2,2,0.0929214929214929,1,True,False
GDSC1,LFM-A13,LFMA13,0.0011053948832035,0.0002492038905651,4,2,1,-0.002016129032258,1,True,False
GDSC1,LGK974,LGK974,0.0915625709743356,0.0002492038905651,4,3,3,0.1156862745098039,2,True,False
GDSC1,LIMK1 inhibitor BMS4,LIMK1INHIBITORBMS4,0.0769048400627348,0.0002492038905651,4,2,2,0.3053579895685159,1,True,False
GDSC1,Lenalidomide,LENALIDOMIDE,-0.0339023233760075,0.0002492038905651,4,2,2,0.103366524419156,0,False,False
GDSC1,Lestaurtinib,LESTAURTINIB,0.0751176277492066,0.0002492038905651,4,3,3,0.1137980085348506,5,True,True
GDSC1,Linifanib,LINIFANIB,0.111946967210125,0.0002492038905651,4,3,3,0.2051646788488893,4,True,True
GDSC1,Linsitinib,LINSITINIB,-0.0245411568409343,0.0002492038905651,4,2,2,0.0120967741935483,0,False,False
GDSC1,Luminespib,LUMINESPIB,-0.016142936596218,0.0002492038905651,4,2,2,0.0475806451612903,0,False,False
GDSC1,MCT1_6447,MCT16447,0.071917058759164,0.0555808301426962,4,3,3,0.0951417004048583,5,True,True
GDSC1,MCT4_1422,MCT41422,-0.0417259364627785,0.0002492038905651,4,2,2,0.019203413940256,2,False,False
GDSC1,MIM1,MIM1,-0.064989779695662,0.0002492038905651,4,1,1,-0.0792792792792792,1,True,False
GDSC1,MK-2206,MK2206,0.0570344780871096,0.0002492038905651,4,3,3,0.0986249407302038,4,True,True
GDSC1,MPS-1-IN-1,MPS1IN1,0.0795856585330269,0.0002492038905651,4,3,3,0.0999015209541525,4,True,True
GDSC1,Masitinib,MASITINIB,0.1509373746215851,0.0002492038905651,4,3,3,0.1647700331910858,4,True,True
GDSC1,"MetAP2 Inhibitor, A832234",METAP2INHIBITORA832234,-0.0867438867438867,0.0002492038905651,4,1,1,-0.0267696267696267,0,False,False
GDSC1,Methotrexate,METHOTREXATE,-0.0191942955100849,0.0002492038905651,4,2,2,0.1510194404931246,1,True,False
GDSC1,Midostaurin,MIDOSTAURIN,-0.0010845383759733,0.0002492038905651,4,2,2,0.0091212458286985,2,True,False
GDSC1,Mirin,MIRIN,-0.0652709359605911,0.0002492038905651,4,1,1,-0.1241379310344827,1,False,False
GDSC1,Mitomycin-C,MITOMYCINC,0.0535038932146829,0.0002492038905651,4,2,2,0.1199110122358175,0,True,False
GDSC1,Motesanib,MOTESANIB,0.2595834701097859,0.0002492038905651,4,3,3,0.3039355144618302,5,True,True
GDSC1,N22899-6-C1,N228996C1,0.1015100120363278,0.0434346697094147,4,3,3,0.134412955465587,6,True,True
GDSC1,N23918-95-7,N23918957,0.229423350475982,0.0119173191384028,4,3,3,0.2353649195754459,5,True,True
GDSC1,N24798-49-A1,N2479849A1,0.0556406609038187,0.0002492038905651,4,3,3,0.0654338549075391,4,True,True
GDSC1,NG-25,NG25,0.1272203377466535,0.0002492038905651,4,3,3,0.2053105737316263,6,True,True
GDSC1,NPK76-II-72-1,NPK76II721,0.0708502024291498,0.0002492038905651,4,2,2,0.2645803698435277,0,False,False
GDSC1,NSC-207895,NSC207895,0.0342123500018236,0.0002492038905651,4,2,2,0.0964000437684648,1,True,False
GDSC1,NSC-87877,NSC87877,-0.0005005561735261,0.0002492038905651,4,2,2,0.1377085650723025,0,False,False
GDSC1,NSC319726,NSC319726,-0.0566280566280566,0.0002492038905651,4,1,0,-0.0805662805662805,2,False,False
GDSC1,NU7441,NU7441,0.0305832147937411,0.0002492038905651,4,2,2,0.1704599336178283,1,True,False
GDSC1,NVP-BHG712,NVPBHG712,0.1730313309260677,0.0002492038905651,4,3,3,0.2413466097676624,5,True,True
GDSC1,Navitoclax,NAVITOCLAX,0.0401849217638691,0.0002492038905651,4,2,2,0.1410621147463253,3,True,False
GDSC1,Nilotinib,NILOTINIB,0.0096928912718386,0.0002492038905651,4,2,2,0.1083451872925556,3,True,False
GDSC1,Nutlin-3a (-),NUTLIN3A,0.1455666192508297,0.0002492038905651,4,3,3,0.2385016595542911,6,True,True
GDSC1,OSI-027,OSI027,0.0089087062771273,0.0002492038905651,4,2,2,0.0408140934456724,0,False,False
GDSC1,OSI-930,OSI930,0.1727395411605938,0.0002492038905651,4,3,3,0.2081555239449976,5,True,True
GDSC1,OSU-03012,OSU03012,0.0117749880819958,0.0002492038905651,4,2,2,0.0629588431590656,0,False,False
GDSC1,Obatoclax Mesylate,OBATOCLAXMESYLATE,0.0115475528364849,0.0002492038905651,4,2,2,0.0713709677419354,0,True,False
GDSC1,Olaparib,OLAPARIB,-0.0154283838494364,0.0719399330010541,4,2,2,0.1721194879089616,1,False,False
GDSC1,Omipalisib,OMIPALISIB,0.0784732100521574,0.0002492038905651,4,3,3,0.1522048364153627,2,True,False
GDSC1,PAC-1,PAC1,-0.0138407754648021,0.0002492038905651,4,2,2,0.0629588431590656,0,False,False
GDSC1,PARP_0108,PARP0108,0.1601624904256483,0.0257816083842055,4,3,3,0.1832804464383411,6,True,True
GDSC1,PARP_9482,PARP9482,0.0700213371266002,0.0548684875819448,4,3,3,0.1338056680161943,4,True,True
GDSC1,PARP_9495,PARP9495,0.1299868694605536,0.0381299626599502,4,2,2,0.3226720647773279,0,True,False
