DRUG_NAME,delta_R_minus_S_GDSC2,mannwhitney_p_BH_GDSC2,n_overlap_GDSC2,spearman_p_BH_GDSC2,spearman_r_GDSC2
Refametinib,0.8664550000000001,0.12335753065575851,45.0,0.1328256766469442,0.23504611330698283
Remodelin,0.8880564999999994,0.033762728499570606,20.0,0.003031042969419088,0.6781954887218045
Ribociclib,1.0382359999999995,0.011533906854939976,45.0,0.0003974811040825343,0.5642951251646904
Romidepsin,0.7243445,0.1414135002628639,45.0,0.24258876041246735,0.1828722002635046
Rucaparib,0.5913449999999996,0.12805532544981382,45.0,0.03666672604728209,0.3299077733860342
Ruxolitinib,0.19061400000000006,0.23989281123350964,46.0,0.021890232627764045,0.3617021276595745
SB216763,1.145315,0.10260155452931508,46.0,0.0023193869035197916,0.48294788775824854
SB505124,0.4988815,0.33262970896645644,45.0,0.29758176576685186,0.16271409749670618
SB590885,0.9064674999999998,0.026572595967720606,45.0,0.009881655919793779,0.4134387351778656
SCH772984,1.295705,0.03987021706936116,46.0,0.03132517423028169,0.3381436941103916
SGC-CBP30,0.2059230000000003,0.48233579556011325,45.0,0.034985410737636835,0.3332015810276679
SGC0946,0.18127700000000013,0.4931897501265844,45.0,0.0271795010174204,0.35125164690382077
SN-38,5.4299935,0.00871098700974333,45.0,0.0027436772061595963,0.4787878787878787
Sabutoclax,1.083949,0.010854233764089527,46.0,0.0021646719928514082,0.4857847671908726
Sapitinib,1.041957,0.1414135002628639,46.0,0.026816818438297533,0.348504471168671
Savolitinib,0.1800925000000002,0.4294776768882159,44.0,0.10042832943766164,0.2600422832980972
Schweinfurthin A,0.8022065,0.09486341936608338,45.0,0.034985410737636835,0.3334650856389986
Selumetinib,0.911721,0.04189801744664515,46.0,0.028085357802527588,0.34492753623188405
Sepantronium bromide,0.7643635,0.4931897501265844,44.0,0.9608076541007583,0.008315715292459478
Serdemetan,0.6850485000000002,0.07415420835812779,45.0,0.01139571011235205,0.40566534914360997
Sinularin,0.3796284999999999,0.1606113891819576,45.0,0.0027950624144723883,0.4777338603425559
Sorafenib,1.1572519999999997,0.00871098700974333,44.0,0.0005210411367035066,0.5575757575757575
Staurosporine,0.688888,0.10260155452931508,46.0,0.08975923218081763,0.2620413197656491
TAF1_5496,0.3599724999999996,0.7108071510525167,45.0,0.3720513015468721,0.1401844532279315
THR-101,0.37287600000000065,0.09334497814943786,42.0,0.06782600713535618,0.2961672473867596
THR-102,0.33214450000000006,0.0999730152269976,42.0,0.034396547771728576,0.3468924722469816
THR-103,0.5023295000000001,0.10260155452931508,42.0,0.02333636641264399,0.3734705453366826
TW 37,1.1845809999999999,0.21027447319581816,25.0,0.276407969790011,0.23307692307692307
Talazoparib,0.9697049999999998,0.03676957599312764,44.0,0.0018997488886896886,0.5052854122621564
Tamoxifen,0.1963054999999998,0.231604035700751,44.0,0.032556921506230005,0.3430584918957012
Tanespimycin,2.1960315,0.002980903675785583,45.0,5.430433725276706e-05,0.6284584980237153
Taselisib,1.1584240000000001,0.06725033494939306,46.0,0.0009531746226000862,0.5246376811594202
Telomerase Inhibitor IX,0.8705575000000001,0.06623750894257723,44.0,0.05152277914312803,0.30894996476391823
Temozolomide,0.387092,0.11736700033582427,45.0,0.003732687505465445,0.46126482213438735
Temsirolimus,0.30063600000000035,0.2621697626218501,44.0,0.03666672604728209,0.33347427766032417
Teniposide,1.448884,0.0035924475767876883,45.0,0.000207814989985864,0.5901185770750987
Topotecan,1.3704364999999998,0.00871098700974333,45.0,0.0019852762070015836,0.49657444005270085
Trametinib,1.3877819999999998,0.07587820870046663,46.0,0.07481036713178757,0.2761023743447425
ULK1_4989,0.8488099999999998,0.08476891403236506,45.0,0.17177573140685,0.21409749670619233
UMI-77,-0.4895105000000002,0.5991907007568902,41.0,0.531051256783323,-0.10452961672473869
UNC0379,1.1883854999999999,0.010854233764089527,42.0,0.0007536859053743775,0.5551413985900656
UNC0638,0.14459700000000097,0.8829534902903614,42.0,0.20016253570316297,0.20768171136860872
Ulixertinib,1.4170635000000003,0.004508506724547734,44.0,0.0019337971797767804,0.5037350246652572
Uprosertib,1.3496924999999997,0.10148072726632412,46.0,0.017657884532372627,0.37613320999074923
VE-822,1.0005080000000004,0.16487135344395853,46.0,0.019332846925817104,0.3697193956213382
VE821,1.2516975000000006,0.04981520951929934,43.0,0.0015722051500547812,0.520990637269707
VSP34_8731,0.5763799999999999,0.01690743568679045,45.0,0.008324801392103034,0.42397891963109346
VTP-A,0.19638199999999983,0.49559044949317405,40.0,0.04686771834660788,0.33170731707317075
VTP-B,0.3940429999999999,0.507436829591128,40.0,0.12736448412286563,0.2536585365853659
VX-11e,0.9947684999999997,0.03222776431032563,43.0,0.01531985826754286,0.39731199033524617
Veliparib,-0.018110499999999696,0.35247160533186483,45.0,0.06609381016747001,0.2878787878787879
Venetoclax,0.7494620000000003,0.40659410150621667,44.0,0.010073776890118567,0.41677237491190977
Vinblastine,2.6942025000000003,0.01624124133408475,41.0,0.00040346433888702714,0.5862369337979095
Vinorelbine,2.0380525000000005,0.010725080339610699,45.0,0.00015416900429405375,0.600395256916996
Vismodegib,0.7685515,0.016210715287392655,45.0,0.0009531746226000862,0.5297760210803688
Vorinostat,0.170914,0.28016252323595237,44.0,0.06609381016747001,0.2913319238900634
WEHI-539,-1.1862980000000007,0.12164003230991693,45.0,0.08009520881419431,-0.2733860342555995
WIKI4,0.08127499999999976,1.0,44.0,0.7324900509293448,0.054686398872445384
WZ4003,0.6763650000000005,0.09548850070675655,46.0,0.034985410737636835,0.32950971322849215
Wee1 Inhibitor,1.2450904999999999,0.04189801744664515,44.0,0.003634725935156663,0.46821705426356586
Wnt-C59,0.6175430000000004,0.09911371298674924,46.0,0.027921483159520078,0.345790934320074
XAV939,-0.04640700000000031,0.887569208127896,46.0,0.6287536186215559,0.075177304964539
YK-4-279,1.7865235000000004,0.020728427969170304,44.0,0.0003829607875172536,0.5718111346018322
ZM447439,0.7015755000000001,0.12335753065575851,45.0,0.033489370961499204,0.3368906455862977
Zoledronate,0.3257885000000007,0.1458401722664199,45.0,0.003732687505465445,0.461528326745718
alpha-lipoic acid,0.02480749999999965,0.5021581786038966,42.0,0.11437718033203573,0.25630013775220817
ascorbate (vitamin C),0.21005350000000078,0.1347035235603008,42.0,0.04139085721703452,0.33295519001701646
glutathione,0.2958850000000002,0.1347035235603008,42.0,0.0195298526657549,0.3854630905113038
