group,state,n_donors,spearman_rho,P,donor_consistency,direction,BH_FDR,state_association_interpretation
tumor,NR1H2,36,0.5523809523809524,0.00047747666611277183,0.6666666666666666,positive,0.004106299328569838,anchor expression association
normal,NR1H2,36,0.004375804375804376,0.9797930769598763,0.3888888888888889,positive,0.9797930769598763,anchor expression association
pooled,NR1H3,72,0.6262340421927853,4.023427229520966e-09,0.7222222222222222,positive,4.325184271735039e-08,anchor expression association
tumor,NR1H3,36,0.4098867283125792,0.013039106483568524,0.6111111111111112,positive,0.03298126934079097,anchor expression association
normal,NR1H3,36,0.22651222651222655,0.18402868799820768,0.5555555555555556,positive,0.6255272898469126,anchor expression association
pooled,RELA,72,-0.2564795163676121,0.029650265560118735,0.3611111111111111,negative,0.05543310517761329,anchor expression association
tumor,RELA,36,-0.10424710424710425,0.5451387784571021,0.4444444444444444,negative,0.601050448042446,anchor expression association
normal,RELA,36,-0.03423423423423424,0.842877458027765,0.5,negative,0.9537823867156289,anchor expression association
pooled,STAT3,72,-0.3717923982249663,0.001301460559939059,0.3333333333333333,negative,0.0032919296516105614,anchor expression association
tumor,STAT3,36,-0.09420849420849423,0.5847083834433184,0.3888888888888889,negative,0.6285615122015673,anchor expression association
normal,STAT3,36,-0.26640926640926643,0.11628049382714263,0.3888888888888889,negative,0.5555623593963481,anchor expression association
pooled,HIF1A,72,-0.20551160846356684,0.08330159705875342,0.4166666666666667,negative,0.14327874694105588,anchor expression association
tumor,HIF1A,36,-0.024453024453024455,0.8874266102941009,0.5555555555555556,negative,0.8874266102941009,anchor expression association
normal,HIF1A,36,-0.2944658944658945,0.08127608173651023,0.3333333333333333,negative,0.4992673592385628,anchor expression association
pooled,MYC,72,-0.5964900997853354,3.2183104042465584e-08,0.2777777777777778,negative,2.386511072656888e-07,anchor expression association
tumor,MYC,36,-0.48880308880308887,0.0024864265473499045,0.4444444444444444,negative,0.01069163415360459,anchor expression association
normal,MYC,36,-0.04890604890604891,0.7769852884778079,0.5,negative,0.9537823867156289,anchor expression association
pooled,JUN,72,0.0706476300726735,0.5553843537093972,0.5277777777777778,positive,0.6284612423553705,anchor expression association
tumor,JUN,36,0.37400257400257403,0.024635617478231595,0.6666666666666666,positive,0.05296657757819793,anchor expression association
normal,JUN,36,-0.13307593307593307,0.43909197550919543,0.3888888888888889,negative,0.7261905748805925,anchor expression association
pooled,FOS,72,0.05222200784616375,0.6630829310703739,0.5,positive,0.7128141509006519,anchor expression association
tumor,FOS,36,0.14388674388674388,0.40246795112978667,0.4444444444444444,positive,0.4677330242859683,anchor expression association
normal,FOS,36,0.04195624195624196,0.808036332482814,0.5,positive,0.9537823867156289,anchor expression association
pooled,TP53,72,-0.5511930027654512,5.23646641981544e-07,0.3055555555555556,negative,2.814600700650799e-06,anchor expression association
tumor,TP53,36,-0.4957528957528957,0.002107645582944538,0.3333333333333333,negative,0.010069862229623904,anchor expression association
normal,TP53,36,-0.2682110682110682,0.11373925401570759,0.4444444444444444,negative,0.5555623593963481,anchor expression association
pooled,SMAD3,72,0.33337621009615925,0.004214639938849908,0.6111111111111112,positive,0.00953839565108137,anchor expression association
tumor,SMAD3,36,0.26673533324863824,0.11581748415493254,0.5,positive,0.16274507974438943,anchor expression association
normal,SMAD3,36,0.18558558558558558,0.27851388303897273,0.5,positive,0.6833234713962457,anchor expression association
pooled,TCF7L2,72,0.5151135121229662,3.6605811742181413e-06,0.6944444444444444,positive,1.430954459012546e-05,anchor expression association
tumor,TCF7L2,36,0.5027027027027027,0.0017803663593311027,0.5555555555555556,positive,0.009569469181404677,anchor expression association
normal,TCF7L2,36,0.09292149292149292,0.5898721335006827,0.3888888888888889,positive,0.8454833913509785,anchor expression association
