donor_id,condition,state,cell_count,state_fraction,n_paired_donors,paired_median_delta,paired_wilcoxon_P,paired_BH_FDR,paired_direction
C151,normal,secretory-like annotation,1039.0,0.5328205128205128,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C151,tumor,enterocyte-like annotation,2.0,0.3333333333333333,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C151,tumor,other epithelial annotation,2.0,0.3333333333333333,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C151,tumor,secretory-like annotation,2.0,0.3333333333333333,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C152,normal,enterocyte-like annotation,473.0,0.574726609963548,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C152,normal,other epithelial annotation,57.0,0.0692588092345079,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C152,normal,secretory-like annotation,293.0,0.3560145808019441,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C152,tumor,enterocyte-like annotation,152.0,0.5259515570934256,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C152,tumor,other epithelial annotation,19.0,0.0657439446366782,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C152,tumor,secretory-like annotation,118.0,0.4083044982698962,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C155,normal,enterocyte-like annotation,676.0,0.5434083601286174,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C155,normal,other epithelial annotation,222.0,0.17845659163987138,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C155,normal,secretory-like annotation,346.0,0.27813504823151125,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C155,tumor,enterocyte-like annotation,108.0,0.4302788844621514,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C155,tumor,other epithelial annotation,5.0,0.0199203187250996,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C155,tumor,secretory-like annotation,138.0,0.549800796812749,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C157,normal,enterocyte-like annotation,272.0,0.1548974943052392,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C157,normal,other epithelial annotation,131.0,0.0746013667425968,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C157,normal,secretory-like annotation,1353.0,0.770501138952164,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C157,tumor,enterocyte-like annotation,230.0,0.4121863799283154,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C157,tumor,other epithelial annotation,28.0,0.05017921146953405,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C157,tumor,secretory-like annotation,300.0,0.5376344086021505,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C162,normal,enterocyte-like annotation,132.0,0.16236162361623616,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C162,normal,other epithelial annotation,66.0,0.08118081180811808,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C162,normal,secretory-like annotation,615.0,0.7564575645756457,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C162,tumor,enterocyte-like annotation,244.0,0.1492354740061162,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
