cluster_id,theme_label,term_id,source,term_name,global_fdr,intersection_size,term_theme_id,term_theme_label,intersection_genes
theme_34,Inflammation / defense / stimulus response,GO:0009607,GO:BP,response to biotic stimulus,0.03658169649799155,9,inflammation_defense,Inflammation / defense / stimulus response,BECN1;CRP;CXCR4;ESR1;MMP9;PPARD;PPARG;PTGS2;RELA
theme_34,Inflammation / defense / stimulus response,GO:0044419,GO:BP,biological process involved in interspecies interaction between organisms,0.04101220417348617,9,inflammation_defense,Inflammation / defense / stimulus response,BECN1;CRP;CXCR4;ESR1;MMP9;PPARD;PPARG;PTGS2;RELA
theme_35,Chemical / oxygen / abiotic stress response,GO:0062197,GO:BP,cellular response to chemical stress,0.028237591296531184,6,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,BECN1;MMP2;PPARG;PTGS2;RELA;SIRT1
theme_36,General metabolism / biosynthesis / storage,GO:0044238,GO:BP,primary metabolic process,0.031999805704375446,16,general_metabolism,General metabolism / biosynthesis / storage,BECN1;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_37,Signaling / receptor / hormone response,GO:2001233,GO:BP,regulation of apoptotic signaling pathway,0.037467514944093665,7,signaling_receptor,Signaling / receptor / hormone response,BECN1;MMP2;MMP9;PPARG;PTGS2;RELA;SIRT1
theme_38,Lipid / fatty-acid / eicosanoid metabolism,GO:0008203,GO:BP,cholesterol metabolic process,0.040022080267862956,3,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2;CYP3A4;PPARD
theme_39,Matrix remodeling / cell migration,GO:0030334,GO:BP,regulation of cell migration,0.04360122660091371,9,matrix_migration,Matrix remodeling / cell migration,CXCR4;MMP2;MMP9;PPARD;PPARG;PTGS2;SIRT1;STAT3;TIMP1
theme_40,Lipid / fatty-acid / eicosanoid metabolism,GO:0010876,GO:BP,lipid localization,0.04876019881269913,5,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CRP;PPARD;PPARG;PTGS2;SIRT1
theme_41,Signaling / receptor / hormone response,REAC:R-HSA-383280,REAC,Nuclear Receptor transcription pathway,0.026253202802905256,3,signaling_receptor,Signaling / receptor / hormone response,ESR1;PPARD;PPARG
theme_42,Lipid / fatty-acid / eicosanoid metabolism,REAC:R-HSA-9018677,REAC,Biosynthesis of DHA-derived SPMs,0.040022080267862956,3,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2;CYP3A4;PTGS2
theme_42,Lipid / fatty-acid / eicosanoid metabolism,REAC:R-HSA-9018678,REAC,Biosynthesis of specialized proresolving mediators (SPMs),0.040022080267862956,3,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2;CYP3A4;PTGS2
